COUNTRY,INDICATOR,COUNTERPART_COUNTRY,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,TRADE_FLOW,VALUATION,UNIT,DERIVATION_TYPE,OVERLAP,STATUS,DOI,FULL_DESCRIPTION,AUTHOR,PUBLISHER,DEPARTMENT,CONTACT_POINT,TOPIC,TOPIC_DATASET,KEYWORDS,KEYWORDS_DATASET,LANGUAGE,PUBLICATION_DATE,UPDATE_DATE,METHODOLOGY,METHODOLOGY_NOTES,ACCESS_SHARING_LEVEL,ACCESS_SHARING_NOTES,SECURITY_CLASSIFICATION,SOURCE,SHORT_SOURCE_CITATION,FULL_SOURCE_CITATION,LICENSE,SUGGESTED_CITATION,KEY_INDICATOR,SERIES_NAME
"Lesotho, Kingdom of","Exports of goods, Free on board (FOB), US dollar",World,Annual,2023,957673425.0,Millions,,,Exports of goods,Free on board (FOB),US dollar,Mixed-type data,Overlapping Indicator,,,,,International Monetary Fund (IMF),Statistics Department (STA),datahelp@imf.org,Exports,Trade in goods; Imports; Exports,,DOTS,English,2025-06-27T03:17:14.618630Z,2025-06-27T03:17:14.662455300Z,International Merchandise Trade Statistics (IMTS),,Public (Unrestricted),,Public or Unrestricted,,Country Authorities; National Summary Data Pages (NDSPs),,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. International Trade in Goods (by partner country), https://data.imf.org/en/datasets/IMF.STA:IMTS. Accessed on [current date].",True,"Exports of goods, Free on board (FOB), US dollar"
"Lesotho, Kingdom of","Exports of goods, Free on board (FOB), US dollar",World,Annual,2024,960089370.0,Millions,,,Exports of goods,Free on board (FOB),US dollar,Mixed-type data,Overlapping Indicator,,,,,International Monetary Fund (IMF),Statistics Department (STA),datahelp@imf.org,Exports,Trade in goods; Imports; Exports,,DOTS,English,2025-06-27T03:17:14.618630Z,2025-06-27T03:17:14.662455300Z,International Merchandise Trade Statistics (IMTS),,Public (Unrestricted),,Public or Unrestricted,,Country Authorities; National Summary Data Pages (NDSPs),,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. International Trade in Goods (by partner country), https://data.imf.org/en/datasets/IMF.STA:IMTS. Accessed on [current date].",True,"Exports of goods, Free on board (FOB), US dollar"
"Mauritania, Islamic Republic of","Exports of goods, Free on board (FOB), US dollar",World,Annual,2022,3806941771.0,Millions,,,Exports of goods,Free on board (FOB),US dollar,Mixed-type data,Overlapping Indicator,,,,,International Monetary Fund (IMF),Statistics Department (STA),datahelp@imf.org,Exports,Trade in goods; Imports; Exports,,DOTS,English,2025-06-27T03:17:14.618630Z,2025-06-27T03:17:14.662455300Z,International Merchandise Trade Statistics (IMTS),,Public (Unrestricted),,Public or Unrestricted,,Country Authorities; National Summary Data Pages (NDSPs),,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. International Trade in Goods (by partner country), https://data.imf.org/en/datasets/IMF.STA:IMTS. Accessed on [current date].",True,"Exports of goods, Free on board (FOB), US dollar"
"Mauritania, Islamic Republic of","Exports of goods, Free on board (FOB), US dollar",World,Annual,2023,4093813601.0,Millions,,,Exports of goods,Free on board (FOB),US dollar,Mixed-type data,Overlapping Indicator,,,,,International Monetary Fund (IMF),Statistics Department (STA),datahelp@imf.org,Exports,Trade in goods; Imports; Exports,,DOTS,English,2025-06-27T03:17:14.618630Z,2025-06-27T03:17:14.662455300Z,International Merchandise Trade Statistics (IMTS),,Public (Unrestricted),,Public or Unrestricted,,Country Authorities; National Summary Data Pages (NDSPs),,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. International Trade in Goods (by partner country), https://data.imf.org/en/datasets/IMF.STA:IMTS. Accessed on [current date].",True,"Exports of goods, Free on board (FOB), US dollar"
"Mauritania, Islamic Republic of","Exports of goods, Free on board (FOB), US dollar",World,Annual,2024,4140480269.0,Millions,,,Exports of goods,Free on board (FOB),US dollar,Mixed-type data,Overlapping Indicator,,,,,International Monetary Fund (IMF),Statistics Department (STA),datahelp@imf.org,Exports,Trade in goods; Imports; Exports,,DOTS,English,2025-06-27T03:17:14.618630Z,2025-06-27T03:17:14.662455300Z,International Merchandise Trade Statistics (IMTS),,Public (Unrestricted),,Public or Unrestricted,,Country Authorities; National Summary Data Pages (NDSPs),,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. International Trade in Goods (by partner country), https://data.imf.org/en/datasets/IMF.STA:IMTS. Accessed on [current date].",True,"Exports of goods, Free on board (FOB), US dollar"
"Eritrea, The State of","Exports of goods, Free on board (FOB), US dollar",World,Annual,2022,597555885.0,Millions,,,Exports of goods,Free on board (FOB),US dollar,Mixed-type data,Overlapping Indicator,,,,,International Monetary Fund (IMF),Statistics Department (STA),datahelp@imf.org,Exports,Trade in goods; Imports; Exports,,DOTS,English,2025-06-27T03:17:14.618630Z,2025-06-27T03:17:14.662455300Z,International Merchandise Trade Statistics (IMTS),,Public (Unrestricted),,Public or Unrestricted,,Country Authorities; National Summary Data Pages (NDSPs),,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. International Trade in Goods (by partner country), https://data.imf.org/en/datasets/IMF.STA:IMTS. Accessed on [current date].",True,"Exports of goods, Free on board (FOB), US dollar"
"Eritrea, The State of","Exports of goods, Free on board (FOB), US dollar",World,Annual,2023,481342435.0,Millions,,,Exports of goods,Free on board (FOB),US dollar,Mixed-type data,Overlapping Indicator,,,,,International Monetary Fund (IMF),Statistics Department (STA),datahelp@imf.org,Exports,Trade in goods; Imports; Exports,,DOTS,English,2025-06-27T03:17:14.618630Z,2025-06-27T03:17:14.662455300Z,International Merchandise Trade Statistics (IMTS),,Public (Unrestricted),,Public or Unrestricted,,Country Authorities; National Summary Data Pages (NDSPs),,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. International Trade in Goods (by partner country), https://data.imf.org/en/datasets/IMF.STA:IMTS. Accessed on [current date].",True,"Exports of goods, Free on board (FOB), US dollar"
"Eritrea, The State of","Exports of goods, Free on board (FOB), US dollar",World,Annual,2024,572660811.0,Millions,,,Exports of goods,Free on board (FOB),US dollar,Mixed-type data,Overlapping Indicator,,,,,International Monetary Fund (IMF),Statistics Department (STA),datahelp@imf.org,Exports,Trade in goods; Imports; Exports,,DOTS,English,2025-06-27T03:17:14.618630Z,2025-06-27T03:17:14.662455300Z,International Merchandise Trade Statistics (IMTS),,Public (Unrestricted),,Public or Unrestricted,,Country Authorities; National Summary Data Pages (NDSPs),,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. International Trade in Goods (by partner country), https://data.imf.org/en/datasets/IMF.STA:IMTS. Accessed on [current date].",True,"Exports of goods, Free on board (FOB), US dollar"
Algeria,"Exports of goods, Free on board (FOB), US dollar",World,Annual,2022,60317605944.0,Millions,,,Exports of goods,Free on board (FOB),US dollar,Mixed-type data,Overlapping Indicator,,,,,International Monetary Fund (IMF),Statistics Department (STA),datahelp@imf.org,Exports,Trade in goods; Imports; Exports,,DOTS,English,2025-06-27T03:17:14.618630Z,2025-06-27T03:17:14.662455300Z,International Merchandise Trade Statistics (IMTS),,Public (Unrestricted),,Public or Unrestricted,,Country Authorities; National Summary Data Pages (NDSPs),,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. International Trade in Goods (by partner country), https://data.imf.org/en/datasets/IMF.STA:IMTS. Accessed on [current date].",True,"Exports of goods, Free on board (FOB), US dollar"
Algeria,"Exports of goods, Free on board (FOB), US dollar",World,Annual,2023,54774497398.0,Millions,,,Exports of goods,Free on board (FOB),US dollar,Mixed-type data,Overlapping Indicator,,,,,International Monetary Fund (IMF),Statistics Department (STA),datahelp@imf.org,Exports,Trade in goods; Imports; Exports,,DOTS,English,2025-06-27T03:17:14.618630Z,2025-06-27T03:17:14.662455300Z,International Merchandise Trade Statistics (IMTS),,Public (Unrestricted),,Public or Unrestricted,,Country Authorities; National Summary Data Pages (NDSPs),,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. International Trade in Goods (by partner country), https://data.imf.org/en/datasets/IMF.STA:IMTS. Accessed on [current date].",True,"Exports of goods, Free on board (FOB), US dollar"
Algeria,"Exports of goods, Free on board (FOB), US dollar",World,Annual,2024,51441966696.0,Millions,,,Exports of goods,Free on board (FOB),US dollar,Mixed-type data,Overlapping Indicator,,,,,International Monetary Fund (IMF),Statistics Department (STA),datahelp@imf.org,Exports,Trade in goods; Imports; Exports,,DOTS,English,2025-06-27T03:17:14.618630Z,2025-06-27T03:17:14.662455300Z,International Merchandise Trade Statistics (IMTS),,Public (Unrestricted),,Public or Unrestricted,,Country Authorities; National Summary Data Pages (NDSPs),,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. International Trade in Goods (by partner country), https://data.imf.org/en/datasets/IMF.STA:IMTS. Accessed on [current date].",True,"Exports of goods, Free on board (FOB), US dollar"
Guinea-Bissau,"Exports of goods, Free on board (FOB), US dollar",World,Annual,2022,506698289.0,Millions,,,Exports of goods,Free on board (FOB),US dollar,Mixed-type data,Overlapping Indicator,,,,,International Monetary Fund (IMF),Statistics Department (STA),datahelp@imf.org,Exports,Trade in goods; Imports; Exports,,DOTS,English,2025-06-27T03:17:14.618630Z,2025-06-27T03:17:14.662455300Z,International Merchandise Trade Statistics (IMTS),,Public (Unrestricted),,Public or Unrestricted,,Country Authorities; National Summary Data Pages (NDSPs),,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. International Trade in Goods (by partner country), https://data.imf.org/en/datasets/IMF.STA:IMTS. Accessed on [current date].",True,"Exports of goods, Free on board (FOB), US dollar"
Guinea-Bissau,"Exports of goods, Free on board (FOB), US dollar",World,Annual,2023,426126914.0,Millions,,,Exports of goods,Free on board (FOB),US dollar,Mixed-type data,Overlapping Indicator,,,,,International Monetary Fund (IMF),Statistics Department (STA),datahelp@imf.org,Exports,Trade in goods; Imports; Exports,,DOTS,English,2025-06-27T03:17:14.618630Z,2025-06-27T03:17:14.662455300Z,International Merchandise Trade Statistics (IMTS),,Public (Unrestricted),,Public or Unrestricted,,Country Authorities; National Summary Data Pages (NDSPs),,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. International Trade in Goods (by partner country), https://data.imf.org/en/datasets/IMF.STA:IMTS. Accessed on [current date].",True,"Exports of goods, Free on board (FOB), US dollar"
Guinea-Bissau,"Exports of goods, Free on board (FOB), US dollar",World,Annual,2024,510475251.0,Millions,,,Exports of goods,Free on board (FOB),US dollar,Mixed-type data,Overlapping Indicator,,,,,International Monetary Fund (IMF),Statistics Department (STA),datahelp@imf.org,Exports,Trade in goods; Imports; Exports,,DOTS,English,2025-06-27T03:17:14.618630Z,2025-06-27T03:17:14.662455300Z,International Merchandise Trade Statistics (IMTS),,Public (Unrestricted),,Public or Unrestricted,,Country Authorities; National Summary Data Pages (NDSPs),,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. International Trade in Goods (by partner country), https://data.imf.org/en/datasets/IMF.STA:IMTS. Accessed on [current date].",True,"Exports of goods, Free on board (FOB), US dollar"
"Congo, Democratic Republic of the","Exports of goods, Free on board (FOB), US dollar",World,Annual,2022,15720780883.0,Millions,,,Exports of goods,Free on board (FOB),US dollar,Mixed-type data,Overlapping Indicator,,,,,International Monetary Fund (IMF),Statistics Department (STA),datahelp@imf.org,Exports,Trade in goods; Imports; Exports,,DOTS,English,2025-06-27T03:17:14.618630Z,2025-06-27T03:17:14.662455300Z,International Merchandise Trade Statistics (IMTS),,Public (Unrestricted),,Public or Unrestricted,,Country Authorities; National Summary Data Pages (NDSPs),,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. International Trade in Goods (by partner country), https://data.imf.org/en/datasets/IMF.STA:IMTS. Accessed on [current date].",True,"Exports of goods, Free on board (FOB), US dollar"
"Congo, Democratic Republic of the","Exports of goods, Free on board (FOB), US dollar",World,Annual,2023,27730130314.0,Millions,,,Exports of goods,Free on board (FOB),US dollar,Mixed-type data,Overlapping Indicator,,,,,International Monetary Fund (IMF),Statistics Department (STA),datahelp@imf.org,Exports,Trade in goods; Imports; Exports,,DOTS,English,2025-06-27T03:17:14.618630Z,2025-06-27T03:17:14.662455300Z,International Merchandise Trade Statistics (IMTS),,Public (Unrestricted),,Public or Unrestricted,,Country Authorities; National Summary Data Pages (NDSPs),,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. International Trade in Goods (by partner country), https://data.imf.org/en/datasets/IMF.STA:IMTS. Accessed on [current date].",True,"Exports of goods, Free on board (FOB), US dollar"
"Congo, Democratic Republic of the","Exports of goods, Free on board (FOB), US dollar",World,Annual,2024,32415465768.0,Millions,,,Exports of goods,Free on board (FOB),US dollar,Mixed-type data,Overlapping Indicator,,,,,International Monetary Fund (IMF),Statistics Department (STA),datahelp@imf.org,Exports,Trade in goods; Imports; Exports,,DOTS,English,2025-06-27T03:17:14.618630Z,2025-06-27T03:17:14.662455300Z,International Merchandise Trade Statistics (IMTS),,Public (Unrestricted),,Public or Unrestricted,,Country Authorities; National Summary Data Pages (NDSPs),,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. International Trade in Goods (by partner country), https://data.imf.org/en/datasets/IMF.STA:IMTS. Accessed on [current date].",True,"Exports of goods, Free on board (FOB), US dollar"
Chad,"Exports of goods, Free on board (FOB), US dollar",World,Annual,2022,4572435253.0,Millions,,,Exports of goods,Free on board (FOB),US dollar,Mixed-type data,Overlapping Indicator,,,,,International Monetary Fund (IMF),Statistics Department (STA),datahelp@imf.org,Exports,Trade in goods; Imports; Exports,,DOTS,English,2025-06-27T03:17:14.618630Z,2025-06-27T03:17:14.662455300Z,International Merchandise Trade Statistics (IMTS),,Public (Unrestricted),,Public or Unrestricted,,Country Authorities; National Summary Data Pages (NDSPs),,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. International Trade in Goods (by partner country), https://data.imf.org/en/datasets/IMF.STA:IMTS. Accessed on [current date].",True,"Exports of goods, Free on board (FOB), US dollar"
Chad,"Exports of goods, Free on board (FOB), US dollar",World,Annual,2023,4224720120.0,Millions,,,Exports of goods,Free on board (FOB),US dollar,Mixed-type data,Overlapping Indicator,,,,,International Monetary Fund (IMF),Statistics Department (STA),datahelp@imf.org,Exports,Trade in goods; Imports; Exports,,DOTS,English,2025-06-27T03:17:14.618630Z,2025-06-27T03:17:14.662455300Z,International Merchandise Trade Statistics (IMTS),,Public (Unrestricted),,Public or Unrestricted,,Country Authorities; National Summary Data Pages (NDSPs),,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. International Trade in Goods (by partner country), https://data.imf.org/en/datasets/IMF.STA:IMTS. Accessed on [current date].",True,"Exports of goods, Free on board (FOB), US dollar"
Chad,"Exports of goods, Free on board (FOB), US dollar",World,Annual,2024,4744033337.0,Millions,,,Exports of goods,Free on board (FOB),US dollar,Mixed-type data,Overlapping Indicator,,,,,International Monetary Fund (IMF),Statistics Department (STA),datahelp@imf.org,Exports,Trade in goods; Imports; Exports,,DOTS,English,2025-06-27T03:17:14.618630Z,2025-06-27T03:17:14.662455300Z,International Merchandise Trade Statistics (IMTS),,Public (Unrestricted),,Public or Unrestricted,,Country Authorities; National Summary Data Pages (NDSPs),,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. International Trade in Goods (by partner country), https://data.imf.org/en/datasets/IMF.STA:IMTS. Accessed on [current date].",True,"Exports of goods, Free on board (FOB), US dollar"
Mali,"Exports of goods, Free on board (FOB), US dollar",World,Annual,2022,4587047962.0,Millions,,,Exports of goods,Free on board (FOB),US dollar,Mixed-type data,Overlapping Indicator,,,,,International Monetary Fund (IMF),Statistics Department (STA),datahelp@imf.org,Exports,Trade in goods; Imports; Exports,,DOTS,English,2025-06-27T03:17:14.618630Z,2025-06-27T03:17:14.662455300Z,International Merchandise Trade Statistics (IMTS),,Public (Unrestricted),,Public or Unrestricted,,Country Authorities; National Summary Data Pages (NDSPs),,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. International Trade in Goods (by partner country), https://data.imf.org/en/datasets/IMF.STA:IMTS. Accessed on [current date].",True,"Exports of goods, Free on board (FOB), US dollar"
Mali,"Exports of goods, Free on board (FOB), US dollar",World,Annual,2023,4366222931.0,Millions,,,Exports of goods,Free on board (FOB),US dollar,Mixed-type data,Overlapping Indicator,,,,,International Monetary Fund (IMF),Statistics Department (STA),datahelp@imf.org,Exports,Trade in goods; Imports; Exports,,DOTS,English,2025-06-27T03:17:14.618630Z,2025-06-27T03:17:14.662455300Z,International Merchandise Trade Statistics (IMTS),,Public (Unrestricted),,Public or Unrestricted,,Country Authorities; National Summary Data Pages (NDSPs),,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. International Trade in Goods (by partner country), https://data.imf.org/en/datasets/IMF.STA:IMTS. Accessed on [current date].",True,"Exports of goods, Free on board (FOB), US dollar"
Mali,"Exports of goods, Free on board (FOB), US dollar",World,Annual,2024,3654667554.0,Millions,,,Exports of goods,Free on board (FOB),US dollar,Mixed-type data,Overlapping Indicator,,,,,International Monetary Fund (IMF),Statistics Department (STA),datahelp@imf.org,Exports,Trade in goods; Imports; Exports,,DOTS,English,2025-06-27T03:17:14.618630Z,2025-06-27T03:17:14.662455300Z,International Merchandise Trade Statistics (IMTS),,Public (Unrestricted),,Public or Unrestricted,,Country Authorities; National Summary Data Pages (NDSPs),,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. International Trade in Goods (by partner country), https://data.imf.org/en/datasets/IMF.STA:IMTS. Accessed on [current date].",True,"Exports of goods, Free on board (FOB), US dollar"
Burkina Faso,"Exports of goods, Free on board (FOB), US dollar",World,Annual,2022,4542731249.0,Millions,,,Exports of goods,Free on board (FOB),US dollar,Mixed-type data,Overlapping Indicator,,,,,International Monetary Fund (IMF),Statistics Department (STA),datahelp@imf.org,Exports,Trade in goods; Imports; Exports,,DOTS,English,2025-06-27T03:17:14.618630Z,2025-06-27T03:17:14.662455300Z,International Merchandise Trade Statistics (IMTS),,Public (Unrestricted),,Public or Unrestricted,,Country Authorities; National Summary Data Pages (NDSPs),,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. International Trade in Goods (by partner country), https://data.imf.org/en/datasets/IMF.STA:IMTS. Accessed on [current date].",True,"Exports of goods, Free on board (FOB), US dollar"
